car_number,driver,manufacturer,finish,lap,lap_time,lap_speed,running_position
19,Martin Truex Jr.,Toyota,3,1,76.96,114.605,6
19,Martin Truex Jr.,Toyota,3,2,74.628,118.186,5
19,Martin Truex Jr.,Toyota,3,3,73.45,120.082,5
19,Martin Truex Jr.,Toyota,3,4,73.291,120.342,5
19,Martin Truex Jr.,Toyota,3,5,73.421,120.129,5
19,Martin Truex Jr.,Toyota,3,6,74.027,119.146,5
19,Martin Truex Jr.,Toyota,3,7,73.848,119.435,4
19,Martin Truex Jr.,Toyota,3,8,73.545,119.927,4
19,Martin Truex Jr.,Toyota,3,9,73.938,119.289,4
19,Martin Truex Jr.,Toyota,3,10,74.671,118.118,3
19,Martin Truex Jr.,Toyota,3,11,174.033,50.68,3
19,Martin Truex Jr.,Toyota,3,12,207.491,42.508,3
19,Martin Truex Jr.,Toyota,3,13,75.405,116.968,3
19,Martin Truex Jr.,Toyota,3,14,73.652,119.752,3
19,Martin Truex Jr.,Toyota,3,15,73.758,119.58,3
19,Martin Truex Jr.,Toyota,3,16,73.727,119.631,3
19,Martin Truex Jr.,Toyota,3,17,74.312,118.689,3
19,Martin Truex Jr.,Toyota,3,18,102.434,86.104,23
19,Martin Truex Jr.,Toyota,3,19,84.116,104.855,24
19,Martin Truex Jr.,Toyota,3,20,82.277,107.199,24
19,Martin Truex Jr.,Toyota,3,21,161.144,54.734,11
19,Martin Truex Jr.,Toyota,3,22,212.283,41.548,2
19,Martin Truex Jr.,Toyota,3,23,74.671,118.118,1
19,Martin Truex Jr.,Toyota,3,24,73.745,119.601,1
19,Martin Truex Jr.,Toyota,3,25,85.777,102.825,1
19,Martin Truex Jr.,Toyota,3,26,207.099,42.588,1
19,Martin Truex Jr.,Toyota,3,27,210.487,41.903,1
19,Martin Truex Jr.,Toyota,3,28,73.984,119.215,1
19,Martin Truex Jr.,Toyota,3,29,73.248,120.413,1
19,Martin Truex Jr.,Toyota,3,30,73.498,120.003,1
19,Martin Truex Jr.,Toyota,3,31,73.493,120.011,1
19,Martin Truex Jr.,Toyota,3,32,73.694,119.684,1
19,Martin Truex Jr.,Toyota,3,33,74.294,118.718,1
19,Martin Truex Jr.,Toyota,3,34,73.663,119.734,1
19,Martin Truex Jr.,Toyota,3,35,73.815,119.488,1
19,Martin Truex Jr.,Toyota,3,36,74.191,118.882,1
19,Martin Truex Jr.,Toyota,3,37,74.277,118.745,1
19,Martin Truex Jr.,Toyota,3,38,74.473,118.432,1
19,Martin Truex Jr.,Toyota,3,39,75.307,117.121,1
19,Martin Truex Jr.,Toyota,3,40,76.303,115.592,1
19,Martin Truex Jr.,Toyota,3,41,145.14,60.769,1
19,Martin Truex Jr.,Toyota,3,42,199.054,44.31,1
19,Martin Truex Jr.,Toyota,3,43,211.11,41.779,1
19,Martin Truex Jr.,Toyota,3,44,74.872,117.801,1
19,Martin Truex Jr.,Toyota,3,45,73.536,119.941,1
19,Martin Truex Jr.,Toyota,3,46,73.734,119.619,1
19,Martin Truex Jr.,Toyota,3,47,74.491,118.404,1
19,Martin Truex Jr.,Toyota,3,48,74.419,118.518,1
19,Martin Truex Jr.,Toyota,3,49,73.801,119.511,1
19,Martin Truex Jr.,Toyota,3,50,74.166,118.922,1
19,Martin Truex Jr.,Toyota,3,51,74.421,118.515,1
19,Martin Truex Jr.,Toyota,3,52,74.371,118.595,1
19,Martin Truex Jr.,Toyota,3,53,75.011,117.583,1
19,Martin Truex Jr.,Toyota,3,54,75.262,117.191,1
19,Martin Truex Jr.,Toyota,3,55,75.141,117.379,1
19,Martin Truex Jr.,Toyota,3,56,75.102,117.44,1
19,Martin Truex Jr.,Toyota,3,57,104.55,84.362,16
19,Martin Truex Jr.,Toyota,3,58,83.002,106.262,15
19,Martin Truex Jr.,Toyota,3,59,73.948,119.273,11
19,Martin Truex Jr.,Toyota,3,60,73.961,119.252,9
19,Martin Truex Jr.,Toyota,3,61,73.697,119.679,7
19,Martin Truex Jr.,Toyota,3,62,74.072,119.073,7
19,Martin Truex Jr.,Toyota,3,63,74.724,118.034,3
19,Martin Truex Jr.,Toyota,3,64,74.151,118.946,3
19,Martin Truex Jr.,Toyota,3,65,74.18,118.9,2
19,Martin Truex Jr.,Toyota,3,66,74.733,118.02,2
19,Martin Truex Jr.,Toyota,3,67,74.516,118.364,2
19,Martin Truex Jr.,Toyota,3,68,74.46,118.453,2
19,Martin Truex Jr.,Toyota,3,69,74.612,118.212,2
19,Martin Truex Jr.,Toyota,3,70,74.746,118,2
19,Martin Truex Jr.,Toyota,3,71,74.78,117.946,2
19,Martin Truex Jr.,Toyota,3,72,74.619,118.2,2
19,Martin Truex Jr.,Toyota,3,73,75.157,117.354,2
19,Martin Truex Jr.,Toyota,3,74,75.021,117.567,2
19,Martin Truex Jr.,Toyota,3,75,74.911,117.74,2
19,Martin Truex Jr.,Toyota,3,76,74.941,117.693,2
19,Martin Truex Jr.,Toyota,3,77,75.617,116.64,2
19,Martin Truex Jr.,Toyota,3,78,75.005,117.592,2
19,Martin Truex Jr.,Toyota,3,79,75.043,117.533,2
19,Martin Truex Jr.,Toyota,3,80,75.264,117.187,2
19,Martin Truex Jr.,Toyota,3,81,75.196,117.293,2
19,Martin Truex Jr.,Toyota,3,82,76.142,115.836,3
19,Martin Truex Jr.,Toyota,3,83,75.578,116.701,3
19,Martin Truex Jr.,Toyota,3,84,75.48,116.852,3
19,Martin Truex Jr.,Toyota,3,85,75.402,116.973,3
19,Martin Truex Jr.,Toyota,3,86,75.354,117.048,3
19,Martin Truex Jr.,Toyota,3,87,75.27,117.178,3
19,Martin Truex Jr.,Toyota,3,88,75.341,117.068,3
19,Martin Truex Jr.,Toyota,3,89,76.213,115.728,3
19,Martin Truex Jr.,Toyota,3,90,76.668,115.041,3
